Id,Tipo,Objeto_Pai,Tipo_Objeto_Pai,Descricao_Breve,Ref_Legado_Arquivo,Ref_Legado_Linhas,Desc_Abordagem,Ref_Doc_Abordagem,Ref_Doc_Linhas,Status_Documentacao,Status_Implementacao,Status_Teste_Unitario
METOD-0072,METODO,,,CB2QP019 - Move dados para tela M020,_LEGADO/cb2qa.esf,4027-4208,,,NOK,NOK,NOK
METOD-0073,METODO,,,CB2QS014 - Determina tipo documento busca cliente,_LEGADO/cb2qa.esf,6998-7140,,,NOK,NOK,NOK
METOD-0074,METODO,,,CB2QS021 - Move dados paginacao M020,_LEGADO/cb2qa.esf,7933-8036,,,NOK,NOK,NOK
METOD-0075,METODO,,,CB2QP022 - Processa selecao item M020,_LEGADO/cb2qa.esf,8038-8223,,,NOK,NOK,NOK
METOD-0076,METODO,,,CB2QS022 - Valida tipo segurado,_LEGADO/cb2qa.esf,8225-8351,,,NOK,NOK,NOK
METOD-0077,METODO,,,CB2QP029 - Move dados para tela M030,_LEGADO/cb2qa.esf,4364-4546,,,NOK,NOK,NOK
METOD-0078,METODO,,,CB2QS031 - Move dados paginacao M030,_LEGADO/cb2qa.esf,8353-8442,,,NOK,NOK,NOK
METOD-0079,METODO,,,CB2QS032 - Processa teclas M030,_LEGADO/cb2qa.esf,8444-8538,,,NOK,NOK,NOK
METOD-0080,METODO,,,CB2QS033 - Monta linha exibicao M030,_LEGADO/cb2qa.esf,8540-8593,,,NOK,NOK,NOK
OBJ-0065,OBJETO,CB2QM030,TELA,CB2QLIT - Label identificacao tipo cobranca,_LEGADO/cb2qa.esf,1682,,,NOK,NOK,NA
OBJ-0066,OBJETO,CB2QM040,TELA,CB2QTIT1 - Label titulo secao banco,_LEGADO/cb2qa.esf,2983,,,NOK,NOK,NA
OBJ-0067,OBJETO,CB2QM040,TELA,CB2QTRACO - Separador visual linha,_LEGADO/cb2qa.esf,2995,,,NOK,NOK,NA
OBJ-0068,OBJETO,CB2QM040,TELA,CB2QLIT - Label cartao ou conta corrente,_LEGADO/cb2qa.esf,3045,,,NOK,NOK,NA
OBJ-0069,OBJETO,CB2QM040,TELA,CB2QTIT2 - Label data pagamento (foco inicial),_LEGADO/cb2qa.esf,3096,,,NOK,NOK,NA
OBJ-0070,OBJETO,CB2QM040,TELA,CB2QTIT3 - Label titulo secao cheque,_LEGADO/cb2qa.esf,3145,,,NOK,NOK,NA
OBJ-0071,OBJETO,CB2QM040,TELA,CB2QTIT4 - Label digito cheque,_LEGADO/cb2qa.esf,3257,,,NOK,NOK,NA
OBJ-0072,OBJETO,CB2QM040,TELA,CB2QTIT5 - Label titulo serie cheque,_LEGADO/cb2qa.esf,3276,,,NOK,NOK,NA
OBJ-0073,OBJETO,CB2QM040,TELA,CB2QSERIE - Campo serie cheque,_LEGADO/cb2qa.esf,3288,,,NOK,NOK,NA
OBJ-0074,OBJETO,CB2QM040,TELA,CB2QTIT6 - Label titulo numero cheque,_LEGADO/cb2qa.esf,3300,,,NOK,NOK,NA
OBJ-0075,OBJETO,CB2QM040,TELA,CB2QCHEQUE - Campo numero cheque visual,_LEGADO/cb2qa.esf,3312,,,NOK,NOK,NA
REGRA-0041,REGRA,CB2QP019,METODO,ATRIBUICAO: CB2QM020 CLEAR - Limpa tela M020,_LEGADO/cb2qa.esf,4029,,,NOK,NOK,NOK
REGRA-0042,REGRA,CB2QP019,METODO,TRANSFORMACAO: Move dados header para M020,_LEGADO/cb2qa.esf,4030-4032,,,NOK,NOK,NOK
